,id,score,fra_routes,fra_boulders,usa_routes,usa_boulders
0,1,0,-,-,3/4,VB
1,2,0,1,1,3/4,VB
2,3,0,1a,1A,3/4,VB
3,4,0,1b,1B,3/4,VB
4,5,0,1c,1C,3/4,VB
5,6,0,1+,1+,3/4,VB
6,7,80,2,2,5.1,VB
7,8,0,2a,2A,5.1,VB
8,9,0,2b,2B,5.1,VB
9,10,0,2c,2C,5.1,VB
10,11,90,2+,2+,5.2,VB
11,12,100,3,3,5.3,VB
12,13,100,3a,3A,5.3,VB
13,14,0,3a+,3A+,5.3,VB
14,15,120,3b,3B,5.3,VB
15,16,0,3b+,3B+,5.3,VB
16,17,140,3c,3C,5.3,V0-
17,18,0,3c+,3C+,5.3,V0-
18,19,0,3+,3+,5.3,V0-
19,20,160,4,4,5.3,V0-
20,21,160,4a,4A,5.4,V0
21,22,0,4a+,4A+,5.4,V0
22,23,180,4b,4B,5.5,V0
23,24,0,4b+,4B+,5.5,V0
24,25,200,4c,4C,5.6,V0
25,26,0,4c+,4C+,5.6,V0
26,27,0,4+,4+,5.7,V0
27,28,250,5,5,5.7,V0
28,29,250,5a,5A,5.7,V1
29,30,275,5a+,5A+,5.7,V1
30,31,300,5b,5B,5.8,V1
31,32,325,5b+,5B+,5.8,V1
32,33,350,5c,5C,5.9,V2
33,34,375,5c+,5C+,5.9,V2
34,35,400,6,6,5.9,V2
35,36,400,6a,6A,5.10a,V3
36,37,425,6a/+,6A/+,5.10a,V3
37,38,450,6a+,6A+,5.10b,V3
38,39,475,6a+/6b,6A+/6B,5.10b,V3
39,40,500,6b,6B,5.10c,V4
40,41,525,6b/+,6B/+,5.10c,V4
41,42,550,6b+,6B+,5.10d,V4/V5
42,43,575,6b+/6c,6B+/6C,5.11a,V4/V5
43,44,600,6c,6C,5.11a,V5
44,45,625,6c/+,6C/+,5.11b,V5
45,46,650,6c+,6C+,5.11b,V5/V6
46,47,675,6c+/7a,6C+/7A,5.11c,V5/V6
47,49,700,7a,7A,5.11d,V6
48,50,725,7a/+,7A/+,5.11d,V6
49,51,750,7a+,7A+,5.12a,V7
50,52,775,7a+/7b,7A+/7B,5.12a,V7
51,53,800,7b,7B,5.12b,V8
52,54,825,7b/+,7B/+,5.12b,V8
53,55,850,7b+,7B+,5.12c,V8
54,56,875,7b+/7c,7B+/7C,5.12c,V8
55,57,900,7c,7C,5.12d,V9
56,58,925,7c/+,7C/+,5.12d,V9
57,59,950,7c+,7C+,5.13a,V10
58,60,975,7c+/8a,7C+/8A,5.13a,V10
59,62,1000,8a,8A,5.13b,V11
60,63,1025,8a/+,8A/+,5.13b,V11
61,64,1050,8a+,8A+,5.13c,V12
62,65,1075,8a+/8b,8A+/8B,5.13c,V12
63,66,1100,8b,8B,5.13d,V13
64,67,1125,8b/+,8B/+,5.13d,V13
65,68,1150,8b+,8B+,5.14a,V14
66,69,1175,8b+/8c,8B+/8C,5.14a,V14
67,70,1200,8c,8C,5.14b,V15
68,71,1225,8c/+,8C/+,5.14b,V15
69,72,1250,8c+,8C+,5.14c,V16
70,73,1275,8c+/9a,8C+/9A,5.14c,V16
71,75,1300,9a,9A,5.14d,V17
72,76,1325,9a/+,9A/+,5.14d,V17
73,77,1350,9a+,9A+,5.15a,V18
74,78,1375,9a+/9b,9A+/9B,5.15a,V18
75,79,1400,9b,9B,5.15b,V19
76,80,1425,9b/+,9B/+,5.15b,V19
77,81,1450,9b+,9B+,5.15c,V20
78,82,1475,9b+/9c,9B+/9C,5.15c,V20
79,83,1500,9c,9C,5.15c,V20
80,84,1525,9c/+,9C/+,5.15c,V20
81,85,1550,9c+,9C+,5.15d,V21
82,86,1575,9c+/10a,9C+/10A,5.15d,V21
